,Unnamed: 0,From,To,Cost,Var
0,0,3,2,94.30678606720781,444.4654027275639
1,1,30,7,213.21720937793373,6638.359049531721
2,2,221,3,30.686589184732554,106.57790163421768
3,3,116,4,33.537067782329,95.86363254728924
4,4,2,117,23.176750442973297,48.93479055215326
5,5,7,8,138.0775752579557,925.7170797797104
6,6,8,10,81.18487602582258,328.50229198392566
7,7,7,9,123.04874841721103,879.3926151735789
8,8,8,9,184.36389149890516,2668.7887019188765
9,9,10,11,129.10007700297416,672.9486163612239
10,10,9,11,79.30394593626923,735.6887368621274
11,11,12,13,2.564538037966177,0.7931475241828712
12,12,12,14,3.2929773757468057,0.575109676796142
13,13,13,15,2.183121444581266,0.20656959429627192
14,14,14,15,4.167923232781802,0.7832160684112878
15,15,18,221,76.17570872451597,816.6061789919794
16,16,19,17,96.65375098509062,458.35249218464514
17,17,21,18,74.32464537872015,300.44022739399713
18,18,21,20,35.91970370700862,188.87278675860486
19,19,20,22,76.43110242809826,845.141868111695
20,20,22,19,49.6870797232359,385.3087410527496
21,21,17,23,6.629828432922183,1.8145171490131238
22,22,23,18,38.18675952422924,190.3050161036548
23,23,22,23,69.0844870814028,238.18607558613044
24,24,2,24,19.454585721057093,21.217136655545772
25,25,24,21,137.62589482467874,2659.6607719569593
26,26,24,25,141.263952536727,2022.0543895385294
27,27,25,6,100.6975787319362,1522.6675144699627
28,28,26,156,95.92647442277269,630.6943612206055
29,29,4,27,93.51964060063352,1086.2840115902627
30,30,156,28,57.55643526981244,472.0941604178965
31,31,28,27,66.86767510894114,331.30736097978587
32,32,4,29,64.72295094991192,348.72384459114375
33,33,29,26,119.90255802481728,1764.8849309508278
34,34,28,29,44.63880965294808,134.89927114341194
35,35,30,31,123.81697209764432,2105.985563837772
36,36,32,30,54.398882349798676,435.8662575226335
37,37,30,33,160.76310922885284,1134.5902024533132
38,38,33,34,11.513479276871685,16.597868631386383
39,39,34,35,13.50691584503253,23.294450729446158
40,40,36,34,30.931187761149012,101.3343163186003
41,41,35,36,4.168199170868303,2.5905857439875297
